,source,target,value
217,Orochimaru,Sarutobi,18
218,Kakashi,Kurenai,18
219,Jutsu,Orochimaru,18
220,Akamaru,Choji,18
221,Mizuki,Tsunade,17
222,Shikamaru,Tsunade,17
223,Lee,Tsunade,17
224,Itachi,Kakashi,17
225,Hoshikage,Sumaru,17
226,Arashi,Hanzaki,17
227,Gaara,Shikamaru,17
228,Iruka,Tsubaki,17
229,Fujin,Mizuki,17
230,Akahoshi,Naruto,17
231,Jonin,Sasuke,17
232,Owashi,Toki,17
233,Gaara,–,17
234,Kagero,Sasame,17
235,Guy,Yagura,17
236,Haku,Naruto,17
237,Choji,Haruna,17
238,Pervy,Sasame,17
239,Buddha,Sasuke,17
240,Gosunkugi,Sazanami,17
241,Asuma,Kurenai,17
242,Hokage,Konohamaru,17
243,Hokage,Kakashi,16
244,Tazuna,Zabuza,16
245,Gaara,Matsuri,16
246,saru,tori,16
247,Gantetsu,Monju,16
248,Chidori,Naruto,16
249,Naruto,Shadow,16
250,Mizura,Sumaru,16
251,Haruna,Yurinojou,16
252,Naruto,Onbu,16
253,Iruka,Tsunade,16
254,Haku,Zabuza,16
255,Byakugan,Kiba,16
256,Iruka,Konohamaru,16
257,Pervy,Tsunade,16
258,Hinata,–,16
259,Konohamaru,Moegi,16
260,Akamaru,Shikamaru,16
261,Komei,Toki,16
262,Orochimaru,the,15
263,Moso,Toki,15
264,Lee,Yagura,15
265,Hokuto,Sumaru,15
266,Konohamaru,Sasuke,15
267,Chidori,Kakashi,15
268,Sasame,Sasuke,15
269,Naruto,Raiga,15
270,Isaribi,Naruto,15
271,Hiashi,Hinata,15
272,Hinata,Lee,15
273,Bushy,Guy,15
274,Sasuke,Shino,15
275,Jiraiya,Sasuke,15
276,Chishima,a,14
277,Guy,Rokusuke,14
278,Kunihisa,Naruto,14
279,Ayame,Ryonin,14
280,Sasuke,–,14
281,Sakura,Shino,14
282,Burn,Pervy,14
283,Asuma,Orochimaru,14
284,Shino,Yakumo,14
285,Hokage,Kiba,14
286,Lee,Shikamaru,14
287,Sasuke,The,14
288,Akamaru,Sakura,14
289,Hiashi,Lightning,14
290,Bushy,Sakura,14
291,Sagi,the,14
292,Naruto,Todoroki,14
293,Chunin,Naruto,14
294,Ole,Peking,13
295,Akamaru,Byakugan,13
296,saru,ushi,13
297,Ole,Sanchez,13
298,Naruto,Shinobi,13
299,Bodimahattaya-san,Chen,13
300,Gaara,Shukaku,13
301,Asuma,Kakashi,13
302,Kikusuke,Yurinoshin,13
303,Jonin,Kurenai,13
304,Gosunkugi,Naruto,13
305,Jiraiya,Sannin,13
306,Sakura,Sensei,13
307,Bodimahattaya-san,Ole,13
308,Sasame,the,13
309,Peking,Popo,13
310,Bodimahattaya-san,Peking,13
311,Sanchez,Tyson,13
312,Ole,Tyson,13
313,Neji,Sagi,13
314,tori,ushi,13
315,Neji,Sakura,13
316,Ebisu,Naruto,13
317,Chen,Ole,13
318,Bodimahattaya-san,Popo,13
319,Chen,Popo,13
320,Hinata,Janin,13
321,Gato,Naruto,13
322,Mizuki,Sasuke,13
323,Bodimahattaya-san,Sanchez,13
324,Sasuke,the,12
325,Orochimaru,Tayuya,12
326,Hokage,Kazekage,12
327,Lee,–,12
328,Akamaru,Gosunkugi,12
329,Hinata,Hizashi,12
330,Orochimaru,Sannin,12
331,Hokage,Sakura,12
332,Kagero,Orochimaru,12
333,Inari,Kakashi,12
334,Chunin,Shikamaru,12
335,Arashi,Sakura,12
336,Sasuke,Zaku,12
337,Ichiraku,Naruto,12
338,Akatsuki,Sasuke,12
339,Chunin,Orochimaru,12
340,Bushy,Gaara,12
341,Ino,Shino,12
342,Choji,Shino,12
343,Hyuga,Neji,12
344,Ding-dong.,ding-dong-ding,12
345,Chunin,Jonin,11
346,Akamaru,Neji,11
347,Kurenai,Yuhi,11
348,Arashi,Jiraiya,11
349,Sasuke,Tayuya,11
350,Shikamaru,Shino,11
351,Genin,Naruto,11
352,Naruto,Sannin,11
353,Jirocho,Naruto,11
354,Dojo,Lee,11
355,Hyuga,Naruto,11
356,Neji,Raiga,11
357,Komei,the,11
358,Naruto,Uzumaki,11
359,Jutsu,Kakashi,11
360,Tori,uma,11
361,Aoi,Idate,11
362,Bushy,Tsunade,11
363,Harmonia,Naruto,11
364,Rasengan,Sasuke,11
365,Gaara,Sand,11
366,Chief,Naruto,11
367,Gaara,Hinata,11
368,Gosunkugi,Hinata,11
369,Guy,Tsunade,11
370,Byakugan,Yakumo,11
371,Katsuyu,Orochimaru,11
372,Kakashi,Pervy,11
373,Hayate,Orochimaru,11
374,Karashi,Ranmaru,11
375,Karashi,Kurosuki,11
376,Sakura,–,11
377,Kankuro,Temari,11
378,Burn,Naruto,11
379,Ding-dong,ding-dong-ding,10
380,Kujaku,Sumaru,10
381,Fang,Naruto,10
382,Kurosuki,Naruto,10
383,Jutsu,Sakura,10
384,Hokage,Uchiha,10
385,Kisame,Naruto,10
386,Choji,Tsunade,10
387,Iruka,Kakashi,10
388,Katsuyu,Tsunade,10
389,Hinata,Ninja,10
390,Gaara,Orochimaru,10
391,Moso,the,10
392,Kimimaro,Sasuke,10
393,Akio,Sakura,10
